country,HealthExp
Afghanistan,9.39572716
Albania,5.26271439
Algeria,6.2184267
Andorra,6.71033096
Angola,2.54900527
Antigua_and_Barbuda,5.23155928
Argentina,9.62454033
Armenia,10.02538967
Australia,9.28459835
Austria,10.32559872
Azerbaijan,3.51373243
Bahamas,6.24896193
Bahrain,4.13356352
Bangladesh,2.3428061
Barbados,6.56259155
Belarus,5.64426613
Belgium,10.31865311
Belize,5.69105911
Benin,2.49141979
Bhutan,3.0574255
Bolivia,6.30102587
Bosnia and Herzegovina,2.41291642
Botswana,5.84825039
Brazil,9.51438713
Brunei_Darussalam,#N/A
Bulgaria,7.34667873
Burkina_Faso,5.62852383
Burundi,7.74165535
Cambodia,6.02654314
Cameroon,3.52989626
Canada,10.79046917
Cape Verde,5.35998297
Central_African_Republic,10.99253082
Chad,4.09880257
Chile,9.14051342
China,5.35107994
Colombia,7.63980007
Comoros,4.58884811
Democratic_Republic_of_the_Congo,3.30075741
Congo,2.13848233
Costa_Rica,7.56336021
Cote_dIvoire,4.19003773
Croatia,6.82702351
Cuba,11.18745422
Cyprus,6.76976299
Czechia,7.64651203
Denmark,10.0707159
Djibouti,2.32438445
Dominica,6.59153605
Dominican_Republic,5.73298407
Ecuador,8.13646507
Egypt,4.947577
El Salvador,7.10940361
Equatorial_Guinea,2.99830961
Eritrea,4.09255791
Estonia,6.6878767
Eswatini,6.54034519
Ethiopia,3.29555655
Fiji,3.42366552
Finland,9.037323
France,11.25789452
Gabon,2.74503946
Gambia,3.09379649
Georgia,7.11329746
Germany,11.42995071
Ghana,3.53888083
Greece,7.71544075
Grenada,4.46386862
Guatemala,5.70716429
Guinea,3.93172431
Guinea_Bissau,6.99553871
Guyana,5.93609333
Haiti,7.69460344
Honduras,7.04958153
Hungary,6.70007229
Iceland,8.46930885
India,3.544245
Indonesia,2.87053037
Iran,8.66168594
Iraq,4.1062417
Ireland,6.92870378
Israel,7.51703548
Italy,8.66763401
Jamaica,6.06135607
Japan,10.95338821
Jordan,7.79041338
Kazakhstan,2.92212725
Kenya,5.16729498
Kuwait,4.99920797
Kyrgyzstan,6.53458309
Laos,2.24630332
Latvia,6.18923044
Lebanon,8.35297012
Lesotho,9.28354836
Liberia,6.73955679
Libya,#N/A
Lithuania,6.56775236
Luxembourg,5.28587103
Madagascar,4.78956461
Malawi,9.33423615
Malaysia,3.7562995
Maldives,9.41152477
Mali,3.8849268
Malta,8.96454525
Marshall_Islands,17.55299377
Mauritania,4.58039093
Mauritius,5.82624388
Mexico,5.37147474
Micronesia,12.59075356
Moldova,6.59544849
Monaco,1.59738493
Mongolia,3.78789377
Montenegro,8.4230423
Morocco,5.31261539
Mozambique,8.17430115
Myanmar,4.79125547
Namibia,7.95077181
Nepal,5.84083414
Netherlands,9.97458649
New_Zealand,9.21034622
Nicaragua,8.56453705
Niger,7.33380175
Nigeria,3.88990784
North_Macedonia,6.58288956
Norway,10.0493927
Oman,4.13171434
Pakistan,3.20193386
Palestine,#N/A
Panama,7.26584625
Papua_New_Guinea,2.36706114
Paraguay,6.65451145
Peru,5.23800182
Philippines,4.40060663
Poland,6.33085012
Portugal,9.40783501
Qatar,2.49480486
Romania,5.55660582
Russia,5.31590033
Rwanda,7.54268694
San_Marino,7.14421701
Sao_Tome_and_Principe,6.26645994
Saudi_Arabia,6.3615365
Senegal,3.97799659
Serbia,8.53899002
Seychelles,5.11036491
Sierra_Leone,16.06307983
Singapore,4.46444654
Slovakia,6.68639565
Slovenia,8.29891014
Solomon_Islands,4.47443104
Somalia,#N/A
South_Africa,8.25342083
South_Korea,7.56259203
Spain,8.97741413
Sri_Lanka,3.75841475
Saint_Kitts_and_Nevis,5.31148005
Saint_Lucia,4.39812708
Saint_Vincent_and_the_Grenadines,4.47178459
Suriname,7.96947193
Sweden,10.8985014
Switzerland,11.87620926
Tajikistan,7.2394805
United_Republic_of_Tanzania,3.62868047
Thailand,3.79303908
Togo,6.16532087
Trinidad_and_Tobago,6.93182945
Tunisia,7.29209566
Turkey,4.12414074
Uganda,6.52623558
Ukraine,7.72391653
United_Arab_Emirates,4.22590351
United_Kingdom,9.99696255
United_States_of_America,16.88529778
Uruguay,9.20269966
Uzbekistan,5.29149055
Vanuatu,3.37372637
Venezuela,3.56269026
Vietnam,5.91789675
Yemen,#N/A
Zambia,4.93484306
Zimbabwe,4.73433113
